key,view,sample,score,hash,file,seed,sunElev,sunAz,massif,coverage,tone,quality,resolutionScale,temporalUpscale,jitter,shadowStep,drawingBuffer,glRenderer,camera
"D5","saved","3","0.054370","e92b464c8cd493e02e2355159ba18c272d940849acc795c7bd99ddc8c1e29f9c","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D5_s03.png","14074","31","-159.589483794465","97.66824773411881","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[577.57,218.35,1159.96]"
"D5","wide","1","0.052591","d817797f5305359923a3a062373a43218239ab0dce68ab10588322658f01f44b","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D5_wide.png","14074","31","-159.589483794465","97.66824773411881","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[1049.14,570.55,1974]"
"D6","saved","1","0.157281","50f4f60c3e9b25e05b19510ea483c9cb4e37668d9138f4b7fa3eae7ab6a664ce","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D6_s01.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-365.75,240.44,-520.26]"
"D6","saved","2","0.148671","96d46f4e652eac02e7600be89a7be51ac177b4ccb6ab1c07332b802cddaca3ae","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D6_s02.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-365.75,240.44,-520.26]"
"D6","saved","3","0.159051","cefae179046841569e8ae8dcaec292ee1820d4de5c5a040418781d969a968942","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D6_s03.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-365.75,240.44,-520.26]"
"D6","wide","1","0.066002","85a70cd227354f537443476f40f4e6385b32679f0aaaaba9e143f7bf4e62d54f","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D6_wide.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1030.42,560.92,-1191.55]"
"D7","saved","1","0.062187","d84881bdb241290b5bfa1058312390e63a699490c4c51fcdaaca0d3c7f20c287","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D7_s01.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-183.14,202.98,57.91]"
"D7","saved","2","0.062827","7a0969894f31451f402b80ec83eceda5409cca90a49584a3c65b35f1c4c1d655","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D7_s02.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-183.14,202.98,57.91]"
"D7","saved","3","0.040389","58bd62e9242c6245b3c279e172edeb197aa54d0aad0ad26abd4b982c775465b1","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D7_s03.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-183.14,202.98,57.91]"
"D7","wide","1","0.059170","33da072c701f729a5e8642e3ea0b70b4f46273765501e0289303f4b46ffa1ea4","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D7_wide.png","40625","7","40","340","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1030.17,365.14,-368.35]"
